Index,Time [s],P [mbar],AX [m/s2],AY [m/s2],AZ [m/s2],AMag [m/s2]
385,0.18798828125,982.5,-0.6,-0.7,-0.1,0.93
386,0.1884765625,982.5,0.8,2.1,-2.5,3.36
387,0.18896484375,982.5,-2.4,-0.9,-1.0,2.75
388,0.189453125,982.5,0.8,0.1,-1.0,1.28
389,0.18994140625,982.5,-1.2,-0.9,-0.4,1.55
390,0.1904296875,982.5,1.4,1.7,-2.3,3.18
391,0.19091796875,982.5,-2.2,-3.1,-0.2,3.81
392,0.19140625,982.5,1.0,0.1,-2.0,2.24
393,0.19189453125,982.5,-0.1,-0.4,-1.8,1.85
394,0.1923828125,982.5,0.1,1.5,0.6,1.62
395,0.19287109375,982.5,-0.6,-1.1,0.1,1.26
396,0.193359375,982.5,0.3,0.9,-2.3,2.49
397,0.19384765625,982.5,-0.8,-2.5,0.1,2.63
398,0.1943359375,982.5,0.6,-0.5,-1.4,1.6
399,0.19482421875,982.5,-1.0,-1.7,-0.1,1.97
400,0.1953125,982.5,-1.1,1.1,-4.1,4.39
401,0.19580078125,982.5,-0.1,-0.2,-0.6,0.64
402,0.1962890625,982.5,0.8,0.1,0.8,1.14
403,0.19677734375,982.5,-1.0,-2.1,-0.4,2.36
404,0.197265625,982.5,1.6,1.3,-2.0,2.87
405,0.19775390625,982.5,-0.3,-1.1,-0.6,1.29
406,0.1982421875,982.5,-0.3,0.7,-1.4,1.59
407,0.19873046875,982.5,-1.4,-1.7,-0.1,2.2
408,0.19921875,982.5,0.6,1.5,-3.3,3.67
409,0.19970703125,982.5,-1.0,-1.9,0.5,2.2
410,0.2001953125,982.5,0.1,0.9,-2.3,2.47
411,0.20068359375,982.5,-4.2,-1.7,0.1,4.53
412,0.201171875,982.5,1.0,0.9,-2.5,2.84
413,0.20166015625,982.5,-2.0,-0.5,0.3,2.08
414,0.2021484375,982.5,0.5,0.3,-2.0,2.08
415,0.20263671875,982.5,-1.6,-0.9,-0.6,1.93
416,0.203125,982.5,1.4,0.5,-2.7,3.08
417,0.20361328125,982.5,-1.4,-1.3,0.3,1.93
418,0.2041015625,982.5,0.6,1.9,-3.3,3.85
419,0.20458984375,982.5,-1.0,0.0,0.5,1.12
420,0.205078125,982.5,0.5,0.3,-3.3,3.35
421,0.20556640625,982.5,-1.4,-0.9,-2.0,2.6
422,0.2060546875,982.5,-0.7,1.1,-1.4,1.91
423,0.20654296875,982.5,-1.4,-1.3,0.3,1.93
424,0.20703125,982.5,1.8,-0.7,-3.7,4.17
425,0.20751953125,982.5,-1.0,-2.9,-0.2,3.07
426,0.2080078125,982.5,0.5,0.3,-2.3,2.37
427,0.20849609375,982.5,-1.2,-1.7,-2.6,3.33
428,0.208984375,982.5,0.1,1.1,-3.3,3.48
429,0.20947265625,982.5,-2.0,-1.7,-0.6,2.69
430,0.2099609375,982.5,1.4,1.5,-1.6,2.6
431,0.21044921875,982.5,0.3,-1.1,0.7,1.34
432,0.2109375,982.5,-0.3,1.5,-0.6,1.64
433,0.21142578125,982.5,-1.2,-0.5,-0.1,1.3
434,0.2119140625,982.5,1.0,-0.7,-2.7,2.96
435,0.21240234375,982.5,-0.8,-1.7,-0.8,2.04
436,0.212890625,982.5,0.5,2.1,-2.7,3.46
437,0.21337890625,982.5,-0.1,-2.3,-1.2,2.6
438,0.2138671875,982.5,1.6,0.1,-2.9,3.31
439,0.21435546875,982.5,-0.6,-2.3,-0.4,2.41
440,0.21484375,982.5,2.4,1.5,-1.0,3.0
441,0.21533203125,982.5,-0.8,-2.1,-0.6,2.33
442,0.2158203125,982.5,1.2,0.1,-2.1,2.42
443,0.21630859375,982.5,-2.2,-1.9,0.3,2.92
444,0.216796875,982.5,-0.3,1.3,-1.4,1.93
445,0.21728515625,982.5,-1.0,-2.7,-0.4,2.91
446,0.2177734375,982.5,1.0,0.5,-1.0,1.5
447,0.21826171875,982.5,0.3,-1.9,-2.6,3.23
448,0.21875,982.5,0.6,0.5,-1.6,1.78
